percentualProtestos,status,definicaoRisco,valorAprovado,endividamento,passivoCirculante,totalAtivo,totalPatrimonioLiquido,faturamentoBruto,scorePontualidade,percentualRisco,categoria
0.0,AprovadoAnalista,De 31 a 50 % - Médio,3000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.490566037735849,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,5000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4339622641509433,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,40000.0,0.0,0.0,0.0,0.0,29348689.0,0.0,0.320754716981132,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,2298496.0,1.0,0.2075471698113207,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,50000.0,0.0,0.0,0.0,0.0,17826063.0,1.0,0.4528301886792452,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,40000.0,0.0,0.0,0.0,0.0,1746101.0,0.8808792156,0.5471698113207547,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,3926252.0,0.0,0.2830188679245283,Ruim
0.0,ReprovadoAnalista,De 51 a 80 % - Alto,20000.0,0.0,0.0,0.0,0.0,214832.0,0.0,0.6792452830188679,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,6000.0,0.0,0.0,0.0,0.0,1746101.0,1.0,0.2452830188679245,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,40000.0,0.0,0.0,0.0,0.0,3809828.0,1.0,0.3962264150943396,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,50000.0,0.0,293393.0,4786692.0,4493298.0,5368371.0,0.0,0.3584905660377358,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,11000.0,0.0,0.0,0.0,0.0,455009.0,1.0,0.3962264150943396,Ruim
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,7000.0,395851.0,10512301.0,20551184.0,6928237.0,40826415.0,1.0,0.0943396226415094,Ruim
0.0,AprovadoComite,De 11 a 30 % - Baixo,30000.0,0.0,0.0,0.0,0.0,35478786.0,1.0,0.1698113207547169,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,40000.0,1121551.0,3404510.0,4134251.0,658645.0,4036098.0,0.8843274212,0.4716981132075471,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,25000.0,0.0,614272.0,797131.0,548878.0,591755.0,1.0,0.3773584905660377,Ruim
0.0,AprovadoComite,De 51 a 80 % - Alto,35000.0,0.0,0.0,0.0,0.0,271387.0,1.0,0.5283018867924528,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,1400000.0,0.0,49147072.0,81720910.0,31208354.0,37122463.0,0.9999930711,0.2075471698113207,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,5000.0,0.0,0.0,0.0,0.0,283812.0,0.0,0.6037735849056604,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,15000.0,0.0,0.0,0.0,0.0,1071109.0,0.0,0.5094339622641509,Ruim
0.0,ReprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,444041.0,2784673.0,2340632.0,2569044.0,1.0,0.3584905660377358,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,3220289.0,0.4095077804,0.4528301886792452,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,80000.0,6150000.0,4113211.0,10220298.0,5827998.0,5389457.0,0.949152378,0.2830188679245283,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,35000.0,66421.0,1866258.0,2861671.0,995412.0,4354088.0,1.0,0.320754716981132,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,5000.0,0.0,0.0,0.0,0.0,328075.0,0.1028686542,0.660377358490566,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094339622641509,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6037735849056604,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,50000.0,0.0,0.0,0.0,0.0,13313452.0,1.0,0.3584905660377358,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,100000.0,97341.0,187745.0,1762231.0,945470.0,3818823.0,0.9346440968,0.5471698113207547,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,745756.0,0.0,0.4528301886792452,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,800000.0,14938623.0,35066250.0,46610269.0,5801008.0,90502107.0,0.9915047802,0.2075471698113207,Ruim
0.0,ReprovadoAnalista,De 31 a 50 % - Médio,20000.0,45038.0,2754345.0,18007369.0,15253023.0,12255988.0,0.9475701929,0.4150943396226415,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,40000.0,0.0,0.0,0.0,0.0,10932834.0,0.0,0.320754716981132,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,70000.0,369661.0,1616061.0,1499139.0,46595.0,10817059.0,0.8210720736,0.4339622641509433,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,0.9916580074,0.0,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,1557540.0,0.0,0.320754716981132,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,30000.0,0.0,0.0,0.0,0.0,2443834.0,1.0,0.2641509433962264,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2641509433962264,Ruim
0.0,ReprovadoComite,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,718353.0,1.0,0.3773584905660377,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,3329454.0,1.0,0.2641509433962264,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,15000.0,0.0,0.0,0.0,0.0,3232345.0,0.0,0.2830188679245283,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,10000.0,0.0,179026.0,511372.0,332345.0,708370.0,1.0,0.4528301886792452,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,140000.0,3877601.0,6181072.0,14878097.0,7402373.0,8622213.0,0.8912616894,0.320754716981132,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,50000.0,0.0,0.0,0.0,0.0,273629.0,1.0,0.3962264150943396,Ruim
0.0,ReprovadoAnalista,De 31 a 50 % - Médio,20000.0,3658024.0,4433602.0,3592780.0,472217.0,3103851.0,0.0,0.320754716981132,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,1298208.0,1.0,0.3584905660377358,Ruim
0.0,ReprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,15484796.0,15484796.0,501991.0,1819859.0,1.0,0.4339622641509433,Ruim
0.0,AprovadoComite,De 51 a 80 % - Alto,20000.0,0.0,0.0,0.0,0.0,566902.0,0.9680354669,0.6226415094339622,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,30000.0,0.0,0.0,0.0,0.0,9443099.0,1.0,0.1320754716981132,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,10000.0,0.0,0.0,0.0,0.0,1591910.0,1.0,0.2641509433962264,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,30000.0,0.0,0.0,0.0,0.0,6114513.0,1.0,0.150943396226415,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,10000.0,0.0,0.0,0.0,0.0,6121171.0,0.0,0.2452830188679245,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,5000.0,0.0,0.0,0.0,0.0,713882.0,0.0,0.3396226415094339,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,509051.0,926368.0,451271.0,572776.0,1.0,0.2830188679245283,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,3410099.0,1.0,0.320754716981132,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,2056885.0,0.0,0.1698113207547169,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,0.6070259847,0.0,Ruim
